time_elapsed,alpha,beta,rho,eta,gamma,success,cost,rmse_w,rmse_iv,mae_iv,n_obs,n_left_put_otm,n_right_call_otm,n_atm,flag_unbalanced_smile,message,tte_min,tte_max,moneyness_min,moneyness_max
168,-2.8279520582377753,1.0767135825716927,-0.7836147690225235,0.9712686071597442,0.4515543317268884,True,6.44632288043363e-06,0.00038198447561148827,0.001135083318155251,0.0007078332620835947,112,0,88,24,True,`gtol` termination condition is satisfied.,0.3178082191780822,2.504109589041096,-0.0086930834012007,0.1967313449444561
169,-2.747018652567471,1.052701205356914,-0.8044159890214664,0.9729929256715876,0.4343758301345201,True,6.18010355927968e-06,0.00038162137056354514,0.0007474506699920888,0.0006041733226803226,102,0,92,10,True,`gtol` termination condition is satisfied.,0.3150684931506849,2.5013698630136987,0.0099630233657516,0.1986259997328751
170,,,,,,False,,,,,0,0,0,0,True,Only 98 obs for 170 after cleaning — need >= 100.,,,,
171,,,,,,False,,,,,0,0,0,0,True,Only 94 obs for 171 after cleaning — need >= 100.,,,,
172,,,,,,False,,,,,0,0,0,0,True,Only 95 obs for 172 after cleaning — need >= 100.,,,,
175,,,,,,False,,,,,0,0,0,0,True,Only 92 obs for 175 after cleaning — need >= 100.,,,,
176,,,,,,False,,,,,0,0,0,0,True,Only 73 obs for 176 after cleaning — need >= 100.,,,,
177,,,,,,False,,,,,0,0,0,0,True,Only 67 obs for 177 after cleaning — need >= 100.,,,,
178,,,,,,False,,,,,0,0,0,0,True,Only 67 obs for 178 after cleaning — need >= 100.,,,,
179,,,,,,False,,,,,0,0,0,0,True,Only 60 obs for 179 after cleaning — need >= 100.,,,,
183,,,,,,False,,,,,0,0,0,0,True,Only 66 obs for 183 after cleaning — need >= 100.,,,,
184,,,,,,False,,,,,0,0,0,0,True,Only 84 obs for 184 after cleaning — need >= 100.,,,,
185,,,,,,False,,,,,0,0,0,0,True,Only 86 obs for 185 after cleaning — need >= 100.,,,,
186,,,,,,False,,,,,0,0,0,0,True,Only 88 obs for 186 after cleaning — need >= 100.,,,,
189,,,,,,False,,,,,0,0,0,0,True,Only 92 obs for 189 after cleaning — need >= 100.,,,,
190,,,,,,False,,,,,0,0,0,0,True,Only 98 obs for 190 after cleaning — need >= 100.,,,,
191,-2.637917460861909,1.094764500361406,-0.7690621631529315,1.090070735016115,0.4014935418610796,True,1.4818424812599748e-05,0.0005294426852183938,0.001462126101049285,0.0009490570746579285,100,0,90,10,True,`gtol` termination condition is satisfied.,0.2547945205479452,2.441095890410959,0.0088607103461123,0.1999566313993678
192,,,,,,False,,,,,0,0,0,0,True,Only 98 obs for 192 after cleaning — need >= 100.,,,,
193,,,,,,False,,,,,0,0,0,0,True,Only 84 obs for 193 after cleaning — need >= 100.,,,,
196,,,,,,False,,,,,0,0,0,0,True,Only 91 obs for 196 after cleaning — need >= 100.,,,,
197,-2.6528211462797398,1.1024417640510393,-0.8340792091513421,0.9159185489440675,0.41752759657053484,True,1.6062506801367596e-05,0.0005230867517650927,0.0025139597576050166,0.0013744486545799268,101,0,93,8,True,`ftol` termination condition is satisfied.,0.2383561643835616,2.424657534246576,0.0194219987090455,0.1977731730476951
198,,,,,,False,,,,,0,0,0,0,True,Only 91 obs for 198 after cleaning — need >= 100.,,,,
199,-2.6655619619168496,1.101236343368183,-0.7556919149368149,1.0321847450948158,0.43641294282728255,True,2.295794003588823e-05,0.0006292428585946983,0.002352598810584915,0.0015562977745865346,105,0,95,10,True,`gtol` termination condition is satisfied.,0.2328767123287671,2.419178082191781,0.0113869587359166,0.1974058318402309
200,-2.710004531302527,1.116082441603751,-0.7941451685251824,0.9548169673664658,0.441470118361917,True,2.1613686649312975e-05,0.0006434073286443512,0.0035164509982762112,0.0021210562262549515,113,0,91,22,True,`gtol` termination condition is satisfied.,0.2301369863013698,2.416438356164384,0.001274003707781,0.1977419045325275
203,-2.7505891987455384,1.1210341170330302,-0.7664820652484949,1.0730882348307158,0.4133524350856344,True,2.2660117110206267e-05,0.0006131429221292258,0.003478033922688681,0.0021351806171542743,117,0,91,26,True,`gtol` termination condition is satisfied.,0.2219178082191781,2.408219178082192,-0.0085572102770122,0.1893883242476776
204,-2.770329085181596,1.103187287931145,-0.780966433535467,0.956101420378472,0.4473696181124687,True,2.2514485183803227e-05,0.000584198561172267,0.0033487071591381903,0.001899010572950596,115,0,89,26,True,`gtol` termination condition is satisfied.,0.2191780821917808,2.405479452054794,-0.0083316159118874,0.1881549504584057
205,-2.7593058590166946,1.0969592985909098,-0.7467797681110626,1.0798079101120424,0.41652555256039286,True,1.0523450710331721e-05,0.0004349927083420665,0.002440984647790235,0.001412766074615242,114,0,90,24,True,`gtol` termination condition is satisfied.,0.2164383561643835,2.4027397260273973,-0.0014993624594756,0.196177531240219
